experiment,relative_path,disposition,referenced,has_checkpoint,has_structured_result,file_count,size_bytes,reason
pi_jwm_v11_adaptive_bridge_confirm_rbcpu450_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_bridge_confirm_rbcpu450_20260621,retain,false,false,true,1,2919,retained evidence or conservative default
pi_jwm_v11_adaptive_bridge_gatesweep_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_bridge_gatesweep_20260621,retain,false,false,true,11,28978,retained evidence or conservative default
pi_jwm_v11_adaptive_bridge_rbcpu_neighborhood_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_bridge_rbcpu_neighborhood_20260621,retain,false,false,true,8,18268,retained evidence or conservative default
pi_jwm_v11_adaptive_bridge_smoke_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_bridge_smoke_20260621,manual-review,false,false,true,1,2662,transient-looking run retains checkpoint or structured result
pi_jwm_v11_adaptive_candidate_oracle_cpu384_20260629,代码\artifacts\experiments\pi_jwm_v11_adaptive_candidate_oracle_cpu384_20260629,retain,false,false,true,3,21972,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_feature_sweep_cpu_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_feature_sweep_cpu_20260621,retain,false,false,true,3,6538,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_high_active_confirm_cpu_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_high_active_confirm_cpu_20260621,retain,false,false,true,23,74412,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_reconfirm_cpu_20260629,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_reconfirm_cpu_20260629,retain,false,false,true,6,13714,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_refine_cpu_20260629,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_refine_cpu_20260629,retain,false,false,true,40,127019,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_rule_sweep_cpu_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_rule_sweep_cpu_20260621,retain,true,false,true,33,109107,referenced by active code or documentation
pi_jwm_v11_adaptive_gate_rule_sweep_cpu_smoke_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_rule_sweep_cpu_smoke_20260621,manual-review,false,false,true,3,3731,transient-looking run retains checkpoint or structured result
pi_jwm_v11_adaptive_gate_rule_targeted_cpu_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_rule_targeted_cpu_20260621,retain,false,false,true,17,52219,retained evidence or conservative default
pi_jwm_v11_adaptive_gate_threshold_cpu_smoke_20260629,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_threshold_cpu_smoke_20260629,manual-review,false,true,true,2,5807,transient-looking run retains checkpoint or structured result
pi_jwm_v11_adaptive_gate_threshold_gpu_e3_fixref_20260621,代码\artifacts\experiments\pi_jwm_v11_adaptive_gate_threshold_gpu_e3_fixref_20260621,retain,false,false,true,1,3074,retained evidence or conservative default
pi_jwm_v11_base_policy_tournament_512_20260626,代码\artifacts\experiments\pi_jwm_v11_base_policy_tournament_512_20260626,retain,false,false,true,3,79258,retained evidence or conservative default
pi_jwm_v11_base_policy_tournament_refine_top32_cpu_20260629,代码\artifacts\experiments\pi_jwm_v11_base_policy_tournament_refine_top32_cpu_20260629,retain,false,false,true,3,54165,retained evidence or conservative default
pi_jwm_v11_base_policy_tournament_smoke_20260626,代码\artifacts\experiments\pi_jwm_v11_base_policy_tournament_smoke_20260626,manual-review,false,false,true,3,5504,transient-looking run retains checkpoint or structured result
pi_jwm_v11_branch_support_value_focus_1024_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_support_value_focus_1024_20260628,retain,true,false,false,0,0,referenced by active code or documentation
pi_jwm_v11_branch_support_value_focus_256_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_support_value_focus_256_20260628,retain,false,false,true,4,36034,retained evidence or conservative default
pi_jwm_v11_branch_support_value_focus_tiny_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_support_value_focus_tiny_20260628,retain,false,false,true,4,14044,retained evidence or conservative default
pi_jwm_v11_branch_template_value_selector_cpu_20260629,代码\artifacts\experiments\pi_jwm_v11_branch_template_value_selector_cpu_20260629,retain,false,false,true,4,205763,retained evidence or conservative default
pi_jwm_v11_branch_template_value_selector_cpu_triage_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_template_value_selector_cpu_triage_20260628,retain,true,false,true,4,278788,referenced by active code or documentation
pi_jwm_v11_branch_template_value_selector_cpu_triage_refresh_20260628,代码\artifacts\experiments\pi_jwm_v11_branch_template_value_selector_cpu_triage_refresh_20260628,retain,false,false,true,4,194622,retained evidence or conservative default
pi_jwm_v11_branch_template_value_selector_refresh_20260629,代码\artifacts\experiments\pi_jwm_v11_branch_template_value_selector_refresh_20260629,retain,false,false,true,4,205984,retained evidence or conservative default
pi_jwm_v11_branch_template_value_selector_refresh_smoke_included_20260629,代码\artifacts\experiments\pi_jwm_v11_branch_template_value_selector_refresh_smoke_included_20260629,manual-review,false,false,true,4,212067,transient-looking run retains checkpoint or structured result
pi_jwm_v11_bridge_calibration_sweep_narrow_20260620,代码\artifacts\experiments\pi_jwm_v11_bridge_calibration_sweep_narrow_20260620,retain,false,false,true,33,139688,retained evidence or conservative default
pi_jwm_v11_bridge_calibration_sweep_smoke_20260620,代码\artifacts\experiments\pi_jwm_v11_bridge_calibration_sweep_smoke_20260620,manual-review,false,false,true,5,9554,transient-looking run retains checkpoint or structured result
pi_jwm_v11_bridge_calibration_sweep_train_median_fine_20260620,代码\artifacts\experiments\pi_jwm_v11_bridge_calibration_sweep_train_median_fine_20260620,retain,false,false,true,11,38016,retained evidence or conservative default
pi_jwm_v11_cem_planner_refiner_256_20260628,代码\artifacts\experiments\pi_jwm_v11_cem_planner_refiner_256_20260628,retain,true,false,true,4,32305,referenced by active code or documentation
pi_jwm_v11_cem_planner_refiner_smoke_20260627,代码\artifacts\experiments\pi_jwm_v11_cem_planner_refiner_smoke_20260627,manual-review,false,false,true,4,6999,transient-looking run retains checkpoint or structured result
pi_jwm_v11_conservative_alpha_cpu384_20260629,代码\artifacts\experiments\pi_jwm_v11_conservative_alpha_cpu384_20260629,retain,false,false,true,4,359956,retained evidence or conservative default
pi_jwm_v11_conservative_newedge_cpu384_20260629,代码\artifacts\experiments\pi_jwm_v11_conservative_newedge_cpu384_20260629,retain,false,false,true,4,75153,retained evidence or conservative default
pi_jwm_v11_continuous_policy_active_value_weight_cpu512_e5_20260629,代码\artifacts\experiments\pi_jwm_v11_continuous_policy_active_value_weight_cpu512_e5_20260629,retain,false,true,true,5,345618,retained evidence or conservative default
pi_jwm_v11_continuous_policy_active_value_weight_cpu_smoke_20260629,代码\artifacts\experiments\pi_jwm_v11_continuous_policy_active_value_weight_cpu_smoke_20260629,manual-review,false,true,true,8,353855,transient-looking run retains checkpoint or structured result
pi_jwm_v11_continuous_policy_activity_active_value_weight_cpu512_e5_20260629,代码\artifacts\experiments\pi_jwm_v11_continuous_policy_activity_active_value_weight_cpu512_e5_20260629,retain,false,true,true,5,345682,retained evidence or conservative default
pi_jwm_v11_continuous_policy_baseline_cpu_smoke_20260629,代码\artifacts\experiments\pi_jwm_v11_continuous_policy_baseline_cpu_smoke_20260629,manual-review,false,true,true,4,340327,transient-looking run retains checkpoint or structured result
pi_jwm_v11_coupled_tokens_cpu_audit_20260620,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_cpu_audit_20260620,retain,false,false,true,2,15048,retained evidence or conservative default
pi_jwm_v11_coupled_tokens_cpu_full5_h64_20260620,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_cpu_full5_h64_20260620,retain,false,true,true,7,1417943,retained evidence or conservative default
pi_jwm_v11_coupled_tokens_cpu_probe_1024x3_20260620,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_cpu_probe_1024x3_20260620,manual-review,false,true,true,7,1416291,transient-looking run retains checkpoint or structured result
pi_jwm_v11_coupled_tokens_cpu_smoke,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_cpu_smoke,manual-review,false,true,true,7,462261,transient-looking run retains checkpoint or structured result
pi_jwm_v11_coupled_tokens_edge_head_cpu384_e3_20260629,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_edge_head_cpu384_e3_20260629,retain,false,true,true,7,1772188,retained evidence or conservative default
pi_jwm_v11_coupled_tokens_gpu_early_h64_e5_20260620,代码\artifacts\experiments\pi_jwm_v11_coupled_tokens_gpu_early_h64_e5_20260620,retain,true,true,true,9,1422691,referenced by active code or documentation
pi_jwm_v11_cpu_multischeme_stage2_posthoc_sweep4_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_multischeme_stage2_posthoc_sweep4_20260621,retain,false,false,true,7,18660,retained evidence or conservative default
pi_jwm_v11_cpu_recovered_v10_codebook_finesweep2_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_recovered_v10_codebook_finesweep2_20260621,retain,false,false,true,15,51778,retained evidence or conservative default
pi_jwm_v11_cpu_recovered_v10_codebook_finesweep_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_recovered_v10_codebook_finesweep_20260621,retain,false,false,true,19,68630,retained evidence or conservative default
pi_jwm_v11_cpu_recovered_v10_codebook_neighborhood_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_recovered_v10_codebook_neighborhood_20260621,retain,false,false,true,12,38967,retained evidence or conservative default
pi_jwm_v11_cpu_recovered_v10_confirm_thr038_s1055_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_recovered_v10_confirm_thr038_s1055_20260621,retain,false,false,true,1,3190,retained evidence or conservative default
pi_jwm_v11_cpu_recovered_v10_repro_k9_t04_s105_20260621,代码\artifacts\experiments\pi_jwm_v11_cpu_recovered_v10_repro_k9_t04_s105_20260621,retain,false,false,true,1,3191,retained evidence or conservative default
pi_jwm_v11_diffusion_support_generator_256_20260628,代码\artifacts\experiments\pi_jwm_v11_diffusion_support_generator_256_20260628,retain,true,false,true,4,25511,referenced by active code or documentation
pi_jwm_v11_diffusion_support_generator_smoke_20260627,代码\artifacts\experiments\pi_jwm_v11_diffusion_support_generator_smoke_20260627,manual-review,false,false,true,4,7744,transient-looking run retains checkpoint or structured result
pi_jwm_v11_direct_policy_error_decomp_20260628,代码\artifacts\experiments\pi_jwm_v11_direct_policy_error_decomp_20260628,retain,false,false,true,4,12479,retained evidence or conservative default
pi_jwm_v11_discrete_value_policy_cpu_medium_20260620,代码\artifacts\experiments\pi_jwm_v11_discrete_value_policy_cpu_medium_20260620,retain,false,true,true,4,365759,retained evidence or conservative default
pi_jwm_v11_discrete_value_policy_cpu_smoke2_20260620,代码\artifacts\experiments\pi_jwm_v11_discrete_value_policy_cpu_smoke2_20260620,manual-review,false,true,true,4,120564,transient-looking run retains checkpoint or structured result
pi_jwm_v11_discrete_value_policy_cpu_smoke_20260620,代码\artifacts\experiments\pi_jwm_v11_discrete_value_policy_cpu_smoke_20260620,manual-review,false,true,true,3,117350,transient-looking run retains checkpoint or structured result
pi_jwm_v11_discrete_value_policy_cpu_weighted_smoke_20260620,代码\artifacts\experiments\pi_jwm_v11_discrete_value_policy_cpu_weighted_smoke_20260620,manual-review,false,true,true,3,119508,transient-looking run retains checkpoint or structured result
pi_jwm_v11_edge_support_head_cpu512_e5_20260629,代码\artifacts\experiments\pi_jwm_v11_edge_support_head_cpu512_e5_20260629,retain,false,true,true,3,340736,retained evidence or conservative default
pi_jwm_v11_edge_support_head_select_edgef1_cpu512_e5_20260629,代码\artifacts\experiments\pi_jwm_v11_edge_support_head_select_edgef1_cpu512_e5_20260629,retain,false,true,true,3,342829,retained evidence or conservative default
pi_jwm_v11_foundation_phase0_2_20260627,代码\artifacts\experiments\pi_jwm_v11_foundation_phase0_2_20260627,retain,false,false,true,13,48302,retained evidence or conservative default
pi_jwm_v11_gnn_greedy_scheduler_smoke_20260627,代码\artifacts\experiments\pi_jwm_v11_gnn_greedy_scheduler_smoke_20260627,manual-review,false,false,true,4,7387,transient-looking run retains checkpoint or structured result
pi_jwm_v11_gpu_20260620,代码\artifacts\experiments\pi_jwm_v11_gpu_20260620,retain,false,true,true,40,9443333,retained evidence or conservative default
pi_jwm_v11_gpu_candidate_batch_local_dryrun_20260627,代码\artifacts\experiments\pi_jwm_v11_gpu_candidate_batch_local_dryrun_20260627,manual-review,false,false,true,28,188638,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_active_keep_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_keep_384_20260628,retain,false,false,true,4,26450,retained evidence or conservative default
pi_jwm_v11_graph_support_active_new_split_reconstruct384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_new_split_reconstruct384_20260628,retain,false,false,true,4,15442,retained evidence or conservative default
pi_jwm_v11_graph_support_active_new_split_smoke128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_new_split_smoke128_20260628,manual-review,false,false,true,4,26675,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_active_prune_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_prune_384_20260628,retain,false,false,true,4,56190,retained evidence or conservative default
pi_jwm_v11_graph_support_active_value_stepbudget_filter_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_value_stepbudget_filter_top32_384_20260628,retain,false,false,true,4,26382,retained evidence or conservative default
pi_jwm_v11_graph_support_active_value_stepbudget_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_active_value_stepbudget_top32_384_20260628,retain,false,false,true,4,34642,retained evidence or conservative default
pi_jwm_v11_graph_support_all_candidate_bin_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_all_candidate_bin_smoke_128_20260628,manual-review,false,false,true,4,28433,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_allweighted_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_allweighted_value_128_20260628,retain,false,false,true,4,16999,retained evidence or conservative default
pi_jwm_v11_graph_support_candidate_bin_lowpos_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_candidate_bin_lowpos_smoke_128_20260628,manual-review,false,false,true,4,28199,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_candidate_bin_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_candidate_bin_smoke_128_20260628,manual-review,false,false,true,4,28185,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_candidate_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_candidate_value_128_20260628,retain,false,false,true,4,20531,retained evidence or conservative default
pi_jwm_v11_graph_support_conservative_new_smoke128_20260629,代码\artifacts\experiments\pi_jwm_v11_graph_support_conservative_new_smoke128_20260629,manual-review,false,false,true,4,112153,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_fixed_family_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_family_384_20260628,retain,false,false,true,4,14505,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_family_confirm512_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_family_confirm512_20260628,retain,false,false,true,4,25525,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_family_refine_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_family_refine_384_20260628,retain,false,false,true,4,32638,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_family_shuffle7_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_family_shuffle7_20260628,retain,false,false,true,4,14700,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_family_window_start128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_family_window_start128_20260628,retain,false,false,true,4,14737,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_topk_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_topk_value_128_20260628,retain,false,false,true,4,133177,retained evidence or conservative default
pi_jwm_v11_graph_support_fixed_topk_value_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_fixed_topk_value_256_20260628,retain,false,false,true,4,88020,retained evidence or conservative default
pi_jwm_v11_graph_support_focus_cpu256_20260629,代码\artifacts\experiments\pi_jwm_v11_graph_support_focus_cpu256_20260629,retain,false,false,true,4,219247,retained evidence or conservative default
pi_jwm_v11_graph_support_gated_step_reconstruct_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_gated_step_reconstruct_smoke_128_20260628,manual-review,false,false,true,4,85395,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_gated_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_gated_value_128_20260628,retain,false,false,true,4,27701,retained evidence or conservative default
pi_jwm_v11_graph_support_generator_512_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_512_20260627,retain,false,false,true,4,63545,retained evidence or conservative default
pi_jwm_v11_graph_support_generator_candidate_pool_256_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_candidate_pool_256_20260627,retain,false,false,true,4,488814,retained evidence or conservative default
pi_jwm_v11_graph_support_generator_candidate_pool_smoke_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_candidate_pool_smoke_20260627,manual-review,false,false,true,4,172147,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_generator_hgb_hardneg_confirm_512_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_hgb_hardneg_confirm_512_20260627,retain,false,false,true,4,168691,retained evidence or conservative default
pi_jwm_v11_graph_support_generator_hgb_threshold_confirm_512_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_hgb_threshold_confirm_512_20260627,retain,false,false,true,4,222983,retained evidence or conservative default
pi_jwm_v11_graph_support_generator_smoke_20260627,代码\artifacts\experiments\pi_jwm_v11_graph_support_generator_smoke_20260627,manual-review,false,false,true,4,8011,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_lowbudget_smoke128_20260629,代码\artifacts\experiments\pi_jwm_v11_graph_support_lowbudget_smoke128_20260629,manual-review,false,false,true,4,190519,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_new_topk_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_new_topk_256_20260628,retain,false,false,true,4,69115,retained evidence or conservative default
pi_jwm_v11_graph_support_oracle_alloc_active_value_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_oracle_alloc_active_value_top32_384_20260628,retain,false,false,true,4,14723,retained evidence or conservative default
pi_jwm_v11_graph_support_plus_topk_step_budget_reconstruct_baselinescore_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_plus_topk_step_budget_reconstruct_baselinescore_smoke_128_20260628,manual-review,false,false,true,4,62153,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_plus_topk_step_budget_reconstruct_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_plus_topk_step_budget_reconstruct_smoke_128_20260628,manual-review,false,false,true,4,50590,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_plus_topk_step_budget_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_plus_topk_step_budget_smoke_128_20260628,manual-review,false,false,true,4,50178,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_positive_candidate_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_positive_candidate_value_128_20260628,retain,false,false,true,4,24290,retained evidence or conservative default
pi_jwm_v11_graph_support_positive_candidate_value_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_positive_candidate_value_256_20260628,retain,false,false,true,4,72665,retained evidence or conservative default
pi_jwm_v11_graph_support_pred_reconstruct_active_value_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_reconstruct_active_value_384_20260628,retain,false,false,true,4,60793,retained evidence or conservative default
pi_jwm_v11_graph_support_pred_reconstruct_topk_expand_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_reconstruct_topk_expand_384_20260628,retain,false,false,true,4,60382,retained evidence or conservative default
pi_jwm_v11_graph_support_pred_value_ops_small_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_value_ops_small_256_20260628,retain,true,false,true,4,202628,referenced by active code or documentation
pi_jwm_v11_graph_support_pred_value_slice384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pred_value_slice384_20260628,retain,false,false,true,4,97387,retained evidence or conservative default
pi_jwm_v11_graph_support_pruned_threshold_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_pruned_threshold_384_20260628,retain,false,false,true,4,30457,retained evidence or conservative default
pi_jwm_v11_graph_support_quantile_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_quantile_value_128_20260628,retain,false,false,true,4,27554,retained evidence or conservative default
pi_jwm_v11_graph_support_quantile_value_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_quantile_value_256_20260628,retain,false,false,true,4,141489,retained evidence or conservative default
pi_jwm_v11_graph_support_quantile_value_deploy256_20260629,代码\artifacts\experiments\pi_jwm_v11_graph_support_quantile_value_deploy256_20260629,retain,false,false,true,4,172249,retained evidence or conservative default
pi_jwm_v11_graph_support_rank_diagnostics_narrow_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_rank_diagnostics_narrow_128_20260628,retain,false,false,true,4,15387,retained evidence or conservative default
pi_jwm_v11_graph_support_selected_gate_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_selected_gate_smoke_128_20260628,manual-review,false,false,true,4,88395,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_step_budget_baselinecount_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_baselinecount_smoke_128_20260628,manual-review,false,false,true,4,36806,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_step_budget_baselineprio_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_baselineprio_smoke_128_20260628,manual-review,false,false,true,4,27690,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_step_budget_filter_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_filter_smoke_128_20260628,manual-review,false,false,true,4,95206,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_step_budget_oracle_alloc_diag_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_oracle_alloc_diag_128_20260628,retain,false,false,true,4,81211,retained evidence or conservative default
pi_jwm_v11_graph_support_step_budget_recall_topk_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_recall_topk_smoke_128_20260628,manual-review,false,false,true,4,49747,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_step_budget_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_step_budget_smoke_128_20260628,manual-review,false,false,true,4,41249,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_stepbudget_baseline_value_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepbudget_baseline_value_384_20260628,retain,false,false,true,4,27371,retained evidence or conservative default
pi_jwm_v11_graph_support_stepbudget_newq_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepbudget_newq_top32_384_20260628,retain,false,false,true,4,26275,retained evidence or conservative default
pi_jwm_v11_graph_support_stepbudget_ranker_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepbudget_ranker_top32_384_20260628,retain,false,false,true,4,26355,retained evidence or conservative default
pi_jwm_v11_graph_support_stepbudget_support_gain_top32_384_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepbudget_support_gain_top32_384_20260628,retain,false,false,true,4,22636,retained evidence or conservative default
pi_jwm_v11_graph_support_stepgate_confirm_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepgate_confirm_256_20260628,retain,false,false,true,4,49122,retained evidence or conservative default
pi_jwm_v11_graph_support_stepgate_reconstruct_smoke_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_stepgate_reconstruct_smoke_128_20260628,manual-review,false,false,true,4,95431,transient-looking run retains checkpoint or structured result
pi_jwm_v11_graph_support_supportscore_value_128_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_supportscore_value_128_20260628,retain,false,false,true,4,27477,retained evidence or conservative default
pi_jwm_v11_graph_support_threshold_value_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_threshold_value_256_20260628,retain,false,false,true,4,43426,retained evidence or conservative default
pi_jwm_v11_graph_support_true_value_diag_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_true_value_diag_256_20260628,retain,false,false,true,4,21063,retained evidence or conservative default
pi_jwm_v11_graph_support_true_value_rank_256_20260628,代码\artifacts\experiments\pi_jwm_v11_graph_support_true_value_rank_256_20260628,retain,false,false,true,4,49293,retained evidence or conservative default
